,FFR_2,FFR_3
200,1.000251,0.998111
201,1.00026,0.998048
202,1.000272,0.997952
203,1.000285,0.997858
204,1.000294,0.997792
205,1.000301,0.997739
206,1.000306,0.997698
207,1.000312,0.997653
208,1.000315,0.997635
209,1.000314,0.997641
210,1.000208,0.998433
211,1.00023,0.99827
212,1.000247,0.998143
213,1.000261,0.998042
214,1.000272,0.997954
215,1.000281,0.997885
216,1.000291,0.997814
217,1.000305,0.997708
218,1.000319,0.997603
219,1.000328,0.997534
220,1.000335,0.997481
221,1.000341,0.99744
222,1.000347,0.997392
223,1.000349,0.997375
224,1.000348,0.997384
225,1.000051,0.999611
226,1.000055,0.999583
227,1.000059,0.999555
228,1.000062,0.999535
229,1.000064,0.999518
230,1.000066,0.999504
231,1.000068,0.999487
232,1.000071,0.999462
233,1.000074,0.999438
234,1.000078,0.999413
235,1.00008,0.999393
236,1.000082,0.999382
237,1.000082,0.999379
238,1.000081,0.999386
239,1.000079,0.999401
240,1.000069,0.999481
241,1.000074,0.999437
242,1.00008,0.999398
243,1.000083,0.999369
244,1.000087,0.999345
245,1.000089,0.999325
246,1.000092,0.999302
247,1.000096,0.99927
248,1.000101,0.999237
249,1.000105,0.999204
250,1.000109,0.999177
251,1.000111,0.99916
252,1.000112,0.999154
253,1.000111,0.999161
254,1.000109,0.999179
255,1.000088,0.999335
256,1.000095,0.999278
257,1.000102,0.999227
258,1.000107,0.999189
259,1.000111,0.999156
260,1.000115,0.99913
261,1.000119,0.999102
262,1.000124,0.999061
263,1.00013,0.999019
264,1.000135,0.998978
265,1.00014,0.998944
266,1.000142,0.998922
267,1.000144,0.998911
268,1.000143,0.998916
269,1.00014,0.998937
270,1.000109,0.999177
271,1.000118,0.999105
272,1.000127,0.999041
273,1.000133,0.998994
274,1.000138,0.998952
275,1.000143,0.998918
276,1.000147,0.998884
277,1.000154,0.998835
278,1.000161,0.998783
279,1.000167,0.998734
280,1.000173,0.998693
281,1.000176,0.998664
282,1.000178,0.998649
283,1.000178,0.998653
284,1.000175,0.998676
285,1.000132,0.999004
286,1.000143,0.998918
287,1.000153,0.99884
288,1.000161,0.998782
289,1.000168,0.998731
290,1.000173,0.998689
291,1.000179,0.998648
292,1.000186,0.998589
293,1.000195,0.998527
294,1.000202,0.99847
295,1.000208,0.998422
296,1.000213,0.998388
297,1.000216,0.998368
298,1.000215,0.998371
299,1.000212,0.998395
300,1.000156,0.998817
301,1.00017,0.998713
302,1.000182,0.998621
303,1.000191,0.998553
304,1.000199,0.998491
305,1.000206,0.998441
306,1.000212,0.998393
307,1.000222,0.998323
308,1.000231,0.998251
309,1.00024,0.998187
310,1.000247,0.998132
311,1.000252,0.998092
312,1.000255,0.998068
313,1.000255,0.998068
314,1.000252,0.998094
315,1.000183,0.998614
316,1.000199,0.99849
317,1.000214,0.998383
318,1.000224,0.998303
319,1.000234,0.998231
320,1.000241,0.998173
321,1.000249,0.998116
322,1.00026,0.998035
323,1.000271,0.997953
324,1.00028,0.997881
325,1.000288,0.99782
326,1.000294,0.997774
327,1.000298,0.997745
328,1.000298,0.997744
329,1.000294,0.997772
330,1.000212,0.998393
331,1.000231,0.998248
332,1.000248,0.998124
333,1.00026,0.998032
334,1.000271,0.997949
335,1.00028,0.997881
336,1.000289,0.997816
337,1.000301,0.997723
338,1.000313,0.99763
339,1.000324,0.997551
340,1.000332,0.997484
341,1.000339,0.997434
342,1.000343,0.997401
343,1.000344,0.997399
344,1.00034,0.997428
345,1.000244,0.998152
346,1.000266,0.997984
347,1.000285,0.997843
348,1.000299,0.997738
349,1.000311,0.997643
350,1.000322,0.997566
351,1.000332,0.997491
352,1.000345,0.997386
353,1.000359,0.99728
354,1.000371,0.997195
355,1.00038,0.997123
356,1.000387,0.997069
357,1.000392,0.997032
358,1.000393,0.997029
359,1.000388,0.997061
360,1.000279,0.99789
361,1.000304,0.997698
362,1.000325,0.997538
363,1.000341,0.997419
364,1.000355,0.997312
365,1.000367,0.997224
366,1.000378,0.997139
367,1.000394,0.99702
368,1.000409,0.996902
369,1.000421,0.996811
370,1.000431,0.996735
371,1.000439,0.996678
372,1.000444,0.996637
373,1.000445,0.996634
374,1.00044,0.99667
375,1.000317,0.997604
376,1.000345,0.997385
377,1.000369,0.997207
378,1.000387,0.997073
379,1.000403,0.996952
380,1.000416,0.996853
381,1.000429,0.996757
382,1.000446,0.996623
383,1.000463,0.996493
384,1.000476,0.996396
385,1.000487,0.996317
386,1.000494,0.996258
387,1.0005,0.996214
388,1.000501,0.996212
389,1.000495,0.996253
390,1.000358,0.997294
391,1.00039,0.997046
392,1.000417,0.996847
393,1.000436,0.996698
394,1.000454,0.996562
395,1.000469,0.996451
396,1.000483,0.996342
397,1.000503,0.996193
398,1.000522,0.996049
399,1.000536,0.995947
400,1.000546,0.995866
401,1.000554,0.995806
402,1.00056,0.99576
403,1.00056,0.99576
404,1.000554,0.995807
405,1.000402,0.996955
406,1.000439,0.996677
407,1.000468,0.996457
408,1.00049,0.99629
409,1.00051,0.996138
410,1.000527,0.996014
411,1.000543,0.995892
412,1.000565,0.995727
413,1.000586,0.995567
414,1.0006,0.995461
415,1.000611,0.995379
416,1.000618,0.99532
417,1.000625,0.995272
418,1.000624,0.995277
419,1.000617,0.995332
420,1.000451,0.996587
421,1.000492,0.996276
422,1.000524,0.996034
423,1.000549,0.995848
424,1.000571,0.995678
425,1.000589,0.99554
426,1.000607,0.995403
427,1.000632,0.99522
428,1.000655,0.995043
429,1.000669,0.994934
430,1.00068,0.994853
431,1.000688,0.994795
432,1.000694,0.994748
433,1.000693,0.994758
434,1.000684,0.994823
435,1.000504,0.996187
436,1.00055,0.995841
437,1.000585,0.995575
438,1.000612,0.995368
439,1.000637,0.995178
440,1.000657,0.995025
441,1.000678,0.994872
442,1.000704,0.994668
443,1.00073,0.994474
444,1.000745,0.994363
445,1.000755,0.994283
446,1.000762,0.99423
447,1.000769,0.994183
448,1.000766,0.994202
449,1.000756,0.99428
450,1.000097,0.999254
451,1.000106,0.99919
452,1.000113,0.999136
453,1.000118,0.999094
454,1.000123,0.999056
455,1.000127,0.999025
456,1.000132,0.998991
457,1.000138,0.998947
458,1.000143,0.998903
459,1.000149,0.998861
460,1.000153,0.998827
461,1.000156,0.998805
462,1.000157,0.998797
463,1.000156,0.998806
464,1.000153,0.998829
465,1.000132,0.998991
466,1.000142,0.998909
467,1.000152,0.998836
468,1.00016,0.998778
469,1.000166,0.998726
470,1.000172,0.998683
471,1.000178,0.998639
472,1.000185,0.998581
473,1.000193,0.998523
474,1.0002,0.998467
475,1.000206,0.998421
476,1.00021,0.99839
477,1.000212,0.998376
478,1.000211,0.998384
479,1.000207,0.998412
480,1.000168,0.998711
481,1.000182,0.998605
482,1.000194,0.998511
483,1.000204,0.998437
484,1.000213,0.998369
485,1.00022,0.998313
486,1.000228,0.998258
487,1.000237,0.998186
488,1.000247,0.998112
489,1.000256,0.998043
490,1.000263,0.997985
491,1.000268,0.997945
492,1.000271,0.997924
493,1.00027,0.997931
494,1.000266,0.997963
495,1.000208,0.998406
496,1.000225,0.998276
497,1.00024,0.998159
498,1.000252,0.998067
499,1.000263,0.997983
500,1.000273,0.997913
501,1.000281,0.997847
502,1.000293,0.99776
503,1.000304,0.99767
504,1.000315,0.997588
505,1.000324,0.997518
506,1.000331,0.997467
507,1.000334,0.99744
508,1.000334,0.997445
509,1.000329,0.997481
510,1.000251,0.998077
511,1.000272,0.997918
512,1.00029,0.997777
513,1.000305,0.997668
514,1.000318,0.997567
515,1.000329,0.997483
516,1.000339,0.997404
517,1.000353,0.9973
518,1.000366,0.997194
519,1.000379,0.997099
520,1.00039,0.997018
521,1.000397,0.996957
522,1.000402,0.996922
523,1.000402,0.996925
524,1.000396,0.996966
525,1.000298,0.997719
526,1.000323,0.997529
527,1.000344,0.997364
528,1.000361,0.997236
529,1.000377,0.997117
530,1.00039,0.997018
531,1.000402,0.996926
532,1.000417,0.996805
533,1.000433,0.996682
534,1.000447,0.996575
535,1.000459,0.996482
536,1.000469,0.996412
537,1.000474,0.99637
538,1.000474,0.996372
539,1.000468,0.996416
540,1.000349,0.99733
541,1.000378,0.997107
542,1.000403,0.996915
543,1.000422,0.996768
544,1.00044,0.996631
545,1.000455,0.996517
546,1.000469,0.99641
547,1.000487,0.996271
548,1.000505,0.996131
549,1.000521,0.996011
550,1.000534,0.995909
551,1.000545,0.99583
552,1.000551,0.995781
553,1.000551,0.995782
554,1.000545,0.995831
555,1.000404,0.996909
556,1.000438,0.996649
557,1.000466,0.996429
558,1.000488,0.996262
559,1.000509,0.996107
560,1.000526,0.995976
561,1.000542,0.995854
562,1.000562,0.995695
563,1.000583,0.995537
564,1.0006,0.995406
565,1.000615,0.995294
566,1.000626,0.995208
567,1.000633,0.995154
568,1.000633,0.995154
569,1.000626,0.995209
570,1.000464,0.996451
571,1.000503,0.996151
572,1.000535,0.995902
573,1.00056,0.995714
574,1.000583,0.995539
575,1.000602,0.995392
576,1.00062,0.995254
577,1.000643,0.995074
578,1.000667,0.994896
579,1.000685,0.994756
580,1.000701,0.994636
581,1.000713,0.994544
582,1.000721,0.994484
583,1.00072,0.994485
584,1.000712,0.994548
585,1.000528,0.995954
586,1.000573,0.995611
587,1.00061,0.995331
588,1.000637,0.995122
589,1.000663,0.994926
590,1.000684,0.994761
591,1.000705,0.994605
592,1.000731,0.994404
593,1.000757,0.994206
594,1.000776,0.994056
595,1.000793,0.99393
596,1.000806,0.993833
597,1.000814,0.993769
598,1.000813,0.993773
599,1.000804,0.993844
600,1.000599,0.995413
601,1.00065,0.995024
602,1.00069,0.994714
603,1.000721,0.994481
604,1.000749,0.994263
605,1.000773,0.99408
606,1.000796,0.993905
607,1.000825,0.99368
608,1.000854,0.993461
609,1.000875,0.993303
610,1.000892,0.993171
611,1.000905,0.993072
612,1.000914,0.993005
613,1.000913,0.993013
614,1.000902,0.993096
615,1.000676,0.994825
616,1.000733,0.994388
617,1.000778,0.994045
618,1.000812,0.993787
619,1.000843,0.993546
620,1.00087,0.993343
621,1.000895,0.993149
622,1.000928,0.992898
623,1.000959,0.992657
624,1.000981,0.992491
625,1.000998,0.992357
626,1.001011,0.992256
627,1.00102,0.992188
628,1.001018,0.992203
629,1.001006,0.9923
630,1.000759,0.994186
631,1.000823,0.993698
632,1.000872,0.993322
633,1.00091,0.993036
634,1.000944,0.99277
635,1.000974,0.992546
636,1.001002,0.992331
637,1.001038,0.992053
638,1.001073,0.991787
639,1.001095,0.991615
640,1.001113,0.99148
641,1.001126,0.991381
642,1.001135,0.991313
643,1.001131,0.991339
644,1.001116,0.991453
645,1.00085,0.993492
646,1.000921,0.99295
647,1.000975,0.992539
648,1.001016,0.992224
649,1.001054,0.99193
650,1.001086,0.991684
651,1.001117,0.991446
652,1.001157,0.991139
653,1.001196,0.990846
654,1.001219,0.99067
655,1.001236,0.990535
656,1.001249,0.990441
657,1.001257,0.990376
658,1.001252,0.990415
659,1.001234,0.99055
660,1.000948,0.992741
661,1.001026,0.992141
662,1.001085,0.991692
663,1.00113,0.991345
664,1.001173,0.991021
665,1.001208,0.990752
666,1.001243,0.990487
667,1.001287,0.990149
668,1.001329,0.989828
669,1.001352,0.989648
670,1.001369,0.989517
671,1.001381,0.98943
672,1.001388,0.98937
673,1.001381,0.989427
674,1.00136,0.989587
675,1.00016,0.99876
676,1.000171,0.998667
677,1.000182,0.998583
678,1.000191,0.998513
679,1.0002,0.99845
680,1.000207,0.998395
681,1.000214,0.998339
682,1.000223,0.998269
683,1.000232,0.998199
684,1.00024,0.998133
685,1.000248,0.998077
686,1.000253,0.998037
687,1.000255,0.998017
688,1.000255,0.99802
689,1.000252,0.998044
690,1.000213,0.998343
691,1.00023,0.998216
692,1.000244,0.998102
693,1.000256,0.998008
694,1.000268,0.997921
695,1.000277,0.997847
696,1.000286,0.997774
697,1.000298,0.997683
698,1.00031,0.99759
699,1.000321,0.997503
700,1.000331,0.997428
701,1.000338,0.997373
702,1.000342,0.997341
703,1.000342,0.997341
704,1.000339,0.997369
705,1.000272,0.99789
706,1.000292,0.997728
707,1.000311,0.997582
708,1.000327,0.997463
709,1.000341,0.997352
710,1.000353,0.997257
711,1.000365,0.997167
712,1.000379,0.997053
713,1.000394,0.996937
714,1.000408,0.996829
715,1.00042,0.996735
716,1.00043,0.996662
717,1.000435,0.996618
718,1.000436,0.996614
719,1.000432,0.996646
720,1.000334,0.997401
721,1.00036,0.997199
722,1.000383,0.99702
723,1.000402,0.996875
724,1.00042,0.996739
725,1.000435,0.996622
726,1.000449,0.996514
727,1.000466,0.996377
728,1.000484,0.996236
729,1.000501,0.996108
730,1.000516,0.995994
731,1.000527,0.995904
732,1.000534,0.995847
733,1.000536,0.995838
734,1.000531,0.995874
735,1.000403,0.996871
736,1.000434,0.996627
737,1.000462,0.996413
738,1.000484,0.996242
739,1.000505,0.996079
740,1.000522,0.995941
741,1.000539,0.995813
742,1.00056,0.995651
743,1.000581,0.995485
744,1.0006,0.995336
745,1.000617,0.995203
746,1.000631,0.995097
747,1.00064,0.995026
748,1.000642,0.995013
749,1.000637,0.995052
750,1.000476,0.996298
751,1.000514,0.996007
752,1.000546,0.995756
753,1.000572,0.995558
754,1.000596,0.99537
755,1.000617,0.995208
756,1.000636,0.995059
757,1.00066,0.994871
758,1.000685,0.99468
759,1.000706,0.994511
760,1.000726,0.99436
761,1.000742,0.994237
762,1.000752,0.994154
763,1.000755,0.994136
764,1.000749,0.994179
765,1.000556,0.995677
766,1.0006,0.995335
767,1.000638,0.995046
768,1.000667,0.99482
769,1.000694,0.994606
770,1.000718,0.994421
771,1.00074,0.99425
772,1.000768,0.994035
773,1.000796,0.993817
774,1.00082,0.993629
775,1.000842,0.99346
776,1.000859,0.993322
777,1.000872,0.993226
778,1.000875,0.993204
779,1.000869,0.99325
780,1.000643,0.995004
781,1.000694,0.994607
782,1.000737,0.994277
783,1.000769,0.994024
784,1.0008,0.993783
785,1.000827,0.993575
786,1.000852,0.993381
787,1.000883,0.993136
788,1.000915,0.99289
789,1.000941,0.992685
790,1.000965,0.9925
791,1.000985,0.992348
792,1.000999,0.992241
793,1.001002,0.992213
794,1.000995,0.992269
795,1.000737,0.994274
796,1.000796,0.993818
797,1.000843,0.993447
798,1.00088,0.993166
799,1.000914,0.992897
800,1.000944,0.992664
801,1.000972,0.992447
802,1.001008,0.992171
803,1.001043,0.991897
804,1.001072,0.991674
805,1.001097,0.991474
806,1.001118,0.99131
807,1.001134,0.991189
808,1.001137,0.991164
809,1.001129,0.991228
810,1.000839,0.993484
811,1.000906,0.992964
812,1.000959,0.992551
813,1.000999,0.992239
814,1.001037,0.991943
815,1.00107,0.991685
816,1.001101,0.991443
817,1.001141,0.991135
818,1.00118,0.990829
819,1.001211,0.990591
820,1.001238,0.990378
821,1.001261,0.9902
822,1.001277,0.990074
823,1.00128,0.990051
824,1.001271,0.990126
825,1.000949,0.992627
826,1.001024,0.99204
827,1.001083,0.991583
828,1.001127,0.99124
829,1.001169,0.990915
830,1.001206,0.990631
831,1.00124,0.990364
832,1.001284,0.99002
833,1.001328,0.989683
834,1.00136,0.98943
835,1.00139,0.989202
836,1.001413,0.98902
837,1.00143,0.988887
838,1.001433,0.988868
839,1.001421,0.988958
840,1.001069,0.991697
841,1.001153,0.991041
842,1.001218,0.99054
843,1.001266,0.990163
844,1.001312,0.989807
845,1.001352,0.989497
846,1.00139,0.989202
847,1.001439,0.988822
848,1.001486,0.988451
849,1.001521,0.98818
850,1.001551,0.987948
851,1.001575,0.98776
852,1.001593,0.987623
853,1.001594,0.987611
854,1.001581,0.987719
855,1.001198,0.990688
856,1.001292,0.98996
857,1.001362,0.989414
858,1.001415,0.989002
859,1.001466,0.988613
860,1.001509,0.988276
861,1.00155,0.987953
862,1.001604,0.987534
863,1.001657,0.987126
864,1.001693,0.986842
865,1.001724,0.986604
866,1.001749,0.986413
867,1.001767,0.986274
868,1.001766,0.986275
869,1.00175,0.986405
870,1.001339,0.989596
871,1.001442,0.988793
872,1.001519,0.9882
873,1.001576,0.987751
874,1.001631,0.987326
875,1.001678,0.986961
876,1.001724,0.986608
877,1.001783,0.986147
878,1.001841,0.985695
879,1.001878,0.985406
880,1.00191,0.985163
881,1.001934,0.984974
882,1.001952,0.984836
883,1.00195,0.984852
884,1.001929,0.98501
885,1.001491,0.988416
886,1.001604,0.987535
887,1.001687,0.986892
888,1.00175,0.986403
889,1.00181,0.98594
890,1.00186,0.985546
891,1.00191,0.98516
892,1.001975,0.984654
893,1.002039,0.98416
894,1.002077,0.983861
895,1.002109,0.983617
896,1.002132,0.983433
897,1.002149,0.983299
898,1.002145,0.983338
899,1.00212,0.983528
900,1.00022,0.998258
901,1.000236,0.998135
902,1.00025,0.998021
903,1.000263,0.997923
904,1.000274,0.997831
905,1.000285,0.99775
906,1.000295,0.997667
907,1.000308,0.997565
908,1.000321,0.997463
909,1.000333,0.997365
910,1.000345,0.997277
911,1.000353,0.997209
912,1.000359,0.997163
913,1.000361,0.997146
914,1.00036,0.997154
915,1.000295,0.99767
916,1.000316,0.9975
917,1.000336,0.997346
918,1.000352,0.997216
919,1.000368,0.997092
920,1.000382,0.996983
921,1.000395,0.996876
922,1.000412,0.996744
923,1.000429,0.996608
924,1.000446,0.996479
925,1.00046,0.996362
926,1.000472,0.996267
927,1.000481,0.996199
928,1.000484,0.996171
929,1.000484,0.996179
930,1.000375,0.997033
931,1.000403,0.996814
932,1.000428,0.996619
933,1.000449,0.996455
934,1.000468,0.996298
935,1.000486,0.99616
936,1.000503,0.996028
937,1.000523,0.995864
938,1.000545,0.995695
939,1.000565,0.995535
940,1.000584,0.995387
941,1.000599,0.995264
942,1.000611,0.995173
943,1.000616,0.995132
944,1.000615,0.995137
945,1.000462,0.996345
946,1.000497,0.996074
947,1.000527,0.995836
948,1.000552,0.995638
949,1.000576,0.995447
950,1.000597,0.995279
951,1.000617,0.995121
952,1.000642,0.994924
953,1.000668,0.99472
954,1.000692,0.994528
955,1.000715,0.99435
956,1.000734,0.994197
957,1.000749,0.994082
958,1.000756,0.994028
959,1.000757,0.994021
960,1.000556,0.995603
961,1.000598,0.995274
962,1.000634,0.994991
963,1.000663,0.994759
964,1.000692,0.994535
965,1.000717,0.994337
966,1.00074,0.994152
967,1.000769,0.99392
968,1.0008,0.993679
969,1.000828,0.993457
970,1.000854,0.993248
971,1.000878,0.993065
972,1.000897,0.992915
973,1.000905,0.992848
974,1.000905,0.992847
975,1.000658,0.9948
976,1.000707,0.99441
977,1.000749,0.99408
978,1.000783,0.993814
979,1.000815,0.993557
980,1.000844,0.993328
981,1.000871,0.993115
982,1.000905,0.992847
983,1.00094,0.992569
984,1.000972,0.992316
985,1.001004,0.992066
986,1.001031,0.991855
987,1.001052,0.991689
988,1.001062,0.991608
989,1.001063,0.991604
990,1.000768,0.993934
991,1.000826,0.993476
992,1.000873,0.993097
993,1.000911,0.992798
994,1.000948,0.992508
995,1.000981,0.992249
996,1.001011,0.992007
997,1.00105,0.9917
998,1.00109,0.991384
999,1.001127,0.991091
1000,1.001162,0.990821
1001,1.001192,0.990581
1002,1.001216,0.99039
1003,1.001228,0.990296
1004,1.001229,0.99029
1005,1.000886,0.992997
1006,1.000953,0.992467
1007,1.001007,0.992038
1008,1.00105,0.991705
1009,1.00109,0.991383
1010,1.001127,0.991093
1011,1.001161,0.990822
1012,1.001205,0.990475
1013,1.001252,0.990108
1014,1.001291,0.989796
1015,1.001329,0.989497
1016,1.001363,0.98923
1017,1.00139,0.989015
1018,1.001403,0.988909
1019,1.001404,0.988903
1020,1.001014,0.991985
1021,1.001091,0.991377
1022,1.001152,0.990898
1023,1.001198,0.990531
1024,1.001243,0.990176
1025,1.001284,0.989857
1026,1.001322,0.989556
1027,1.001371,0.989166
1028,1.001423,0.988757
1029,1.001466,0.988416
1030,1.001507,0.988089
1031,1.001544,0.987797
1032,1.001574,0.987559
1033,1.001589,0.987443
1034,1.00159,0.987439
1035,1.001153,0.99089
1036,1.00124,0.990202
1037,1.001307,0.989671
1038,1.001358,0.98927
1039,1.001407,0.988882
1040,1.001451,0.988534
1041,1.001493,0.988202
1042,1.001549,0.987756
1043,1.001605,0.987314
1044,1.001652,0.986946
1045,1.001697,0.986593
1046,1.001737,0.986277
1047,1.001769,0.986018
1048,1.001785,0.985894
1049,1.001785,0.985894
1050,1.001302,0.989707
1051,1.0014,0.988934
1052,1.001474,0.988351
1053,1.001529,0.987915
1054,1.001583,0.987494
1055,1.00163,0.987117
1056,1.001676,0.986755
1057,1.001739,0.986261
1058,1.0018,0.985773
1059,1.00185,0.985378
1060,1.001898,0.985
1061,1.001941,0.984664
1062,1.001976,0.984385
1063,1.001992,0.984256
1064,1.001991,0.984264
1065,1.001464,0.988427
1066,1.001573,0.987567
1067,1.001654,0.986933
1068,1.001713,0.986461
1069,1.001771,0.986006
1070,1.001822,0.9856
1071,1.001874,0.985194
1072,1.001941,0.984663
1073,1.002009,0.984127
1074,1.002062,0.983706
1075,1.002113,0.983306
1076,1.002158,0.98295
1077,1.002195,0.982654
1078,1.002212,0.982524
1079,1.002209,0.982543
1080,1.00164,0.987043
1081,1.001759,0.986096
1082,1.001846,0.985411
1083,1.001911,0.984901
1084,1.001973,0.984412
1085,1.002028,0.983978
1086,1.002083,0.98354
1087,1.002157,0.982957
1088,1.002231,0.98237
1089,1.002287,0.981923
1090,1.002341,0.981501
1091,1.002388,0.981129
1092,1.002427,0.980818
1093,1.002444,0.98069
1094,1.002439,0.980726
1095,1.001829,0.985548
1096,1.00196,0.984514
1097,1.002053,0.983777
1098,1.002122,0.983229
1099,1.002189,0.982703
1100,1.002249,0.982226
1101,1.002307,0.981771
1102,1.002387,0.981134
1103,1.002468,0.980493
1104,1.002528,0.980022
1105,1.002584,0.979579
1106,1.002633,0.979194
1107,1.002674,0.978871
1108,1.002689,0.97875
1109,1.002682,0.978808
1110,1.002032,0.98394
1111,1.002174,0.982817
1112,1.002274,0.982026
1113,1.002349,0.981438
1114,1.00242,0.980874
1115,1.002484,0.980368
1116,1.002546,0.97988
1117,1.002634,0.979186
1118,1.002722,0.978489
1119,1.002785,0.977993
1120,1.002843,0.977533
1121,1.002893,0.977137
1122,1.002935,0.976805
1123,1.002949,0.976696
1124,1.002938,0.976781
1125,1.000277,0.997775
1126,1.000295,0.997624
1127,1.000312,0.997487
1128,1.000327,0.997366
1129,1.000342,0.997249
1130,1.000355,0.997141
1131,1.000369,0.997028
1132,1.000386,0.996891
1133,1.000404,0.99675
1134,1.000421,0.996611
1135,1.000437,0.996481
1136,1.000451,0.996369
1137,1.000463,0.996278
1138,1.00047,0.996219
1139,1.000474,0.996187
1140,1.000369,0.997035
1141,1.000395,0.996823
1142,1.000418,0.99664
1143,1.000438,0.996479
1144,1.000457,0.996323
1145,1.000475,0.99618
1146,1.000493,0.996035
1147,1.000515,0.995857
1148,1.000538,0.995671
1149,1.000561,0.995488
1150,1.000583,0.995313
1151,1.000602,0.995159
